num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
184102,1.3034712277510545,0.0019446701579322045,0.834401743734001,264428.40201101406,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
194606,1.303129439293427,0.001602881700304648,0.7070979591180055,389221.7120245277,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
205708,1.3003001989236802,0.0012263586694420958,0.5562155119274421,664913.2522474711,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
217444,1.3010557151243385,0.0004708424687838164,0.21955803862980633,4510749.8528418,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
229850,1.2995842960544468,0.0019422615386754938,0.9311721196854368,265084.64963391057,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
242964,1.3019087068345718,0.00038214924144952533,0.18836662925367145,6847530.829876247,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
256825,1.3043496990916805,0.0028231414985582237,1.4307089512826885,125468.50062218202,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
271478,1.3016977276586226,0.00017117006550027014,0.08918568193429349,34130634.834364094,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
286966,1.302224362204236,0.0006978046111136837,0.3738084005815094,2053677.9022898313,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
303338,1.3014974359508995,2.9121642222795785e-05,0.01603907327555051,1179147884.0791564,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
320644,1.3013431239203825,0.0001834336727397634,0.10387011692423095,29719525.87247389,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
338938,1.2989745950656884,0.0025519625274339486,1.4857112921270428,153550.56330851387,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
358275,1.3020948187247936,0.0005682611316712993,0.34013882272588947,3096735.3822875908,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
