method,dist,queries,epsilon,p_hat,true_p,error
classical,mixture,231,,0.03896103896103896,0.042270765684061296,0.0033097267230223354
classical,mixture,259,,0.04633204633204633,0.042270765684061296,0.004061280647985034
classical,mixture,291,,0.07216494845360824,0.042270765684061296,0.029894182769546945
classical,mixture,327,,0.0581039755351682,0.042270765684061296,0.0158332098511069
classical,mixture,367,,0.02997275204359673,0.042270765684061296,0.012298013640464567
classical,mixture,413,,0.0387409200968523,0.042270765684061296,0.0035298455872089934
classical,mixture,464,,0.034482758620689655,0.042270765684061296,0.007788007063371641
classical,mixture,521,,0.04990403071017274,0.042270765684061296,0.0076332650261114465
classical,mixture,585,,0.037606837606837605,0.042270765684061296,0.0046639280772236905
classical,mixture,657,,0.0365296803652968,0.042270765684061296,0.005741085318764494
classical,mixture,739,,0.04059539918809202,0.042270765684061296,0.0016753664959692771
classical,mixture,830,,0.04457831325301205,0.042270765684061296,0.0023075475689507546
classical,mixture,932,,0.03969957081545064,0.042270765684061296,0.0025711948686106545
classical,mixture,1047,,0.03533906399235912,0.042270765684061296,0.006931701691702173
classical,mixture,1176,,0.04421768707482993,0.042270765684061296,0.001946921390768637
classical,mixture,1321,,0.0408781226343679,0.042270765684061296,0.0013926430496933942
classical,mixture,1484,,0.04245283018867924,0.042270765684061296,0.00018206450461794726
classical,mixture,1668,,0.046163069544364506,0.042270765684061296,0.0038923038603032103
classical,mixture,1873,,0.04217832354511479,0.042270765684061296,9.244213894650521e-05
classical,mixture,2104,,0.039923954372623575,0.042270765684061296,0.00234681131143772
classical,mixture,2364,,0.03976311336717428,0.042270765684061296,0.0025076523168870157
classical,mixture,2656,,0.05158132530120482,0.042270765684061296,0.009310559617143527
classical,mixture,2983,,0.04659738518270198,0.042270765684061296,0.004326619498640681
classical,mixture,3351,,0.03849597135183527,0.042270765684061296,0.0037747943322260225
classical,mixture,3764,,0.0422422954303932,0.042270765684061296,2.8470253668096135e-05
classical,mixture,4229,,0.04303617876566564,0.042270765684061296,0.0007654130816043478
classical,mixture,4750,,0.05073684210526316,0.042270765684061296,0.008466076421201861
classical,mixture,5336,,0.046101949025487254,0.042270765684061296,0.003831183341425959
classical,mixture,5994,,0.03853853853853854,0.042270765684061296,0.003732227145522758
classical,mixture,6734,,0.0397980397980398,0.042270765684061296,0.0024727258860214943
classical,mixture,7564,,0.038207297726070864,0.042270765684061296,0.004063467957990431
classical,mixture,8497,,0.04389784629869366,0.042270765684061296,0.0016270806146323619
classical,mixture,9545,,0.04536406495547407,0.042270765684061296,0.003093299271412775
classical,mixture,10722,,0.041130386121992164,0.042270765684061296,0.0011403795620691312
classical,mixture,12045,,0.039684516396845164,0.042270765684061296,0.0025862492872161316
classical,mixture,13530,,0.0401330376940133,0.042270765684061296,0.002137727990047994
classical,mixture,15199,,0.044410816501085595,0.042270765684061296,0.0021400508170243
classical,mixture,17073,,0.0429332864757219,0.042270765684061296,0.0006625207916606049
classical,mixture,19179,,0.0434850617863288,0.042270765684061296,0.0012142961022675036
classical,mixture,21544,,0.04553471964352024,0.042270765684061296,0.003263953959458943
